Title,Year,Year End,URL,Client Type,Client / Agency,Subtitle,Description,Technical Stack,Skills,Notes /Edge Cases,
BUSINESS SOLUTIONS,2004,,,,Alex Seif,Business ideas + Software Engineering = Solutions,Business ideas + Software Engineering = Solutions,,,,
ARABIC MEDICAL SOCIAL WEBSITE,2005,,,,Alex Seif,"Aiming to relate Arabic speaking medical professionals and medicine scholars together, through forums, articles, news and events.","Aiming to relate Arabic speaking medical professionals and medicine scholars together, through forums, articles, news and events.",,,,
SYKOHEIL DENTISTRY CLINIC,2006,,http://sykoheil.com/,,Alex Seif,Maintained a site for a dentistry clinic for 6 months to ensure security and to enhance the site's initial traffic,,,,,
MITCHDESIGNS,2009,2012,http://www.mitchdesigns.com/,Outsourcing Partner,MITCHDESIGNS,Outsourced to this design company so it can deliver on it's promises,2009 - 2014,"Self made Custom PHP MVC Framework 
mySQL
HTML, CSS, JS
Symfony","* Requirement Elicitation
* Software Design
* Database Design
* Infrastructure Setup
* Team development
* CI/CD
* Testing development
* Documentation & Code Quality
* Defining Deliverables ",,
SMASH HOLIDAYS,2009,,,Outsourcing Partner,MITCHDESIGNS,"Customer Tailored Tour Operator Booking System, with a full fledged CMS",,"Self made Custom PHP MVC Framework 
mySQL
HTML, CSS, JS","* Requirement Elicitation
* Software Design
* Database Design
* Infrastructure Setup
* Team development
* CI/CD
* Testing development
* Documentation & Code Quality
* Defining Deliverables 
* Nested Queries 
* Query Optimization 
* Advanced pricing Schema
* PageSpeed load",,
EGYPTOLUTION,2010,,,Outsourcing Partner,MITCHDESIGNS,Requirement elicitation & consulting,2010 - 2013,Requirement elicitation & consulting,,,
ORTHODOX BOTSWANA,2010,,,NGO,Alex Seif,Webpresence,2010-2011,,,,
TAZIRY,2010,,https://taziry.com/,Outsourcing Partner,MITCHDESIGNS,,Consulting,,,,
TRAINING STAFF,2010,,,Outsourcing Partner,MITCHDESIGNS,,2010-2015,,,,
WALLETY,2010,2014,wallety.com,Fintech Enterprise Startup,Chief Technology Officer (CTO) @ CLI APPs,High-Throughput Core Fintech & Airline Transaction Routing Infrastructure,"Served as CTO and Principal Systems Architect for a major fintech payment platform. Designed and deployed a highly optimized, decoupled core routing infrastructure capable of processing continuous, extreme concurrency loads, successfully commanding over 33% of all domestic air travel ticketing throughput nationwide. Hardened the cloud infrastructure for strict corporate audit and PCI-DSS compliance, isolating volatile consumer entry networks from high-yield atomic transaction microservices.","PHP, Symfony Framework, AWS Ecosystem, High-Availability Load Balancers, Asynchronous Queues, PCI-DSS Hardening.",,Sustained mission-critical core architectures where even milliseconds of systemic database latency carried material financial penalties and immediate transaction processing failure costs.,
AGAZAT MASR,2011,,https://www.agazatmasr.com/,Outsourcing Partner,MITCHDESIGNS,"Custom Tailored Web brochure to tourism packages with an Integrated, Email based, Booking Management System","Agazat Masr (Tourico)
Members:Alex Seif, Malak Mitch
Custom Tailored Web brochure to tourism packages with an Email Booking Management System
2011 - 2013",,,,
BOURI CENTER,2011,,BOURI,Outsourcing Partner,MITCHDESIGNS,Custom Tailored E-Commerce System for Retail Appliance Chains (2011 - 2013),"Designed and scaled a highly customized e-commerce ecosystem built on Symfony. To bypass structural blocking from an uncooperative legacy ERP vendor, modeled the e-commerce database layer to mimic a standalone, physical retail branch node with its own dedicated virtual inventory ledger. Architected an asynchronous, human-in-the-loop remediation pipeline with a custom dashboard to intercept and sanitize fragmented, duplicated, and unnormalized product data exports before production ingestion. Leveraged early web traction to design a comprehensive API specification contract for the client's vendor, establishing requirements for versioned stock allocation, transactional holds, and automated inventory sync.","Symfony Framework, Relational Schema Modeling, E-Commerce Inventory Engines, Legacy ERP Data Remediation, API Specification Design, Asynchronous Data Ingestion.",,"Overcame absolute third-party vendor blocking by decoupling the platform into an isolated physical retail branch simulation. Successfully shifted corporate management's operational mindset, using early web metrics to drive stakeholder spend on a fully automated, state-synchronized API upgrade.","Bouri
Members:Alex Seif, Malak Mitch
Custom tailored eCommerce System for home and kitchen appliances
2011 - 2013"
RESORT CHOICE,2011,,https://www.resortchoice.com/,Outsourcing Partner,MITCHDESIGNS,Multi-Tenant Property Rental & High-Yield Resort Management Engine (2011 - 2012),"Architected and deployed a multi-tenant resort management and rental engine that unified public guest bookings and private property-owner operations. Codified complex property contracts directly into the business logic layer to automatically enforce booking windows and prevent inventory collisions. Engineered a high-performance yield engine capable of calculating fluid variables (gala nights, seasonal spikes, early-bird rates, and owner exemptions) instantly by utilizing optimized database Views and decoupled service layers. Solely responsible for requirements elicitation, database normalization, asynchronous JS/AJAX validation, staging/production server provisioning, automated deployment integration, and disaster recovery processes.","PHP, Symfony Framework, Complex Relational Schemas, Optimized SQL Views, Advanced Yield Management Engines, Asynchronous JS/AJAX, Server Provisioning & DR.",,"Translated complex legal contracts and real-world offline operational logistics (damage assessments, turn-over workorders, and multi-owner asset billing) directly into rigid programmatic software boundaries. Built a system so seamless that property owners frequently booked other available inventory within the network.",
THE GIFTERY,2011,,http://www.thegiftery.com/,Outsourcing Partner,MITCHDESIGNS,Consulting & Problem solving,2011-2012,,,,
ALSSON,2012,,http://www.alsson.com/,Contracted /OutSourcing,MITCHDESIGNS,Consulting,2012 - 2013,,,,
ARTS MART,2012,,https://www.arts-mart.com/,Contracted /OutSourcing,MITCHDESIGNS,Consulting,2012 - 2013,,,,
FARAH NILE CRUISE,2012,,http://www.farahnilecruise.com/,Contracted /OutSourcing,MITCHDESIGNS,Farah means Happiness and Joy in Arabic; and this is simply what we aspire: make our Guest happy and satisfied to have chosen us for their trip along the Nile.,"Farah Nile Cruise
May 2011 to June 2011
Members:Alex Seif, Romario Sameh, Malak Mitch
2012-2013",,,,
MYSTIC EVENINGS,2012,,http://www.mysticevenings.com/,Contracted /OutSourcing,MITCHDESIGNS,,Consulting,,,,
MYZOUK,2012,,,Contracted /OutSourcing,MITCHDESIGNS,,"MyZouk - Architecture, oversight, consultation
Custom tailored listing for premium items (Cars, Boats, etc..)
Consulting",,,,
SOHO SQUARE,2012,,http://www.soho-sharm.com/,Contracted /OutSourcing,MITCHDESIGNS,,Event eCommerce addon,,,,
WHO'S JAMMING,2012,,,Contracted /OutSourcing,MITCHDESIGNS,,Consulting,,,,
YADAWEYA,2012,,http://www.yadaweya.com/,Contracted /OutSourcing,MITCHDESIGNS,,Consulting,,,,
BAILANDO,2014,,bailando-eg.com,Direct,Alex Seif,Digitally crafted their online presence,2014 - till today,,,,
ODIOUS,2014,,odiousband.com,Direct,Alex Seif,Digitally delivering their music to their fanbase,2014-today,,,,
ORIENT COPPER COMPANY,2014,,orientcopper.com,Direct,Alex Seif,Themed Wordpress site for simplicity of this factory's digital presence.,2014 - today,,,,
DIMITRIS CAVOURAS - ΔΗΜΉΤΡΗΣ ΚΆΒΟΥΡΑΣ,2015,,https://www.facebook.com/dimitriscavouras/,NGO,Alex Seif,"Dispensed his political statement and controlled his message on twitter
",,,,,
THE GREEK COMMUNITY OF ALEXANDRIA,2015,,,NGO,Alex Seif,"Setup and customised a wordpress site, to serve as a portal for this community's presence, activities and history",2015 - today,,,,
THOMAS SAFETY,2015,,http://thomas-safety.com/,Direct,Alex Seif,Corporate Website for purpose of digital presence and product catalog,2015-today,,,,
VISALLC,2015,,http://mevisa.ru/,Direct,Alex Seif,"Developed a custom mini-ERP that integrates with different platforms (wordpress, modx) and multiple websites. To consolidate orders, employees and management","2015 - today (MeVisa, VisaLLC & TravelBox.ru, miniERP)",,,,
218TV.NET,2016,,218TV.NET,Outsourcing,NileTech,Implemented a layout based on PSD's for this Drupal based website with high traffic. In addition to adding new features to Drupal.,,,,,
DESIGN & MORE INTERNATIONAL,2016,,design-more.net,Direct,Alex Seif,Designed & built a website that reflects their spirit and theme on a platform to publish their achievements.,2016 - today,,,,
INTRADE,2016,,e-intrade.com,Direct,Alex Seif,"is an Import & Export firm with global reach, that aims to publicise their establishment, products and services, in addition to a brochure.",,,,,
L3D,2016,,http://www.law3andakdam.com/,NGO,Alex Seif,Consulting,,,,,
THE GREEK COMMUNITY OF ALEXANDRIA,2016,,ekalexandria.org,NGO,Alex Seif,Delivered every directors message and report through infographics in their annual report,,,,,
ZILLION HOME BUYERS,2016,,,Direct,Alex Seif,Real state squeeze page,,,,,
TURATHUNA,2017,,http://turathuna.ae/,NGO,NileTech,The Cultural Programs and Heritage Festivals Committee - Abu Dhabi,,,,,
Faros Omogenias,2017,,farosomogenias.gr,NGO,Alex Seif,Greek News website,,,,,
EMICS,2017,,,Direct,Alex Seif,,,,,,
Cafe Supreme,2017,,,Direct,Alex Seif,,,,,,
STARTUP WORKSHOPS,2017,,,Direct,ITI,,,,,,
HSP,2017,,,Direct,Alex Seif,,,,,,
Ajel,2017,2019,ajel.sa,Outsourcing,NileTech,,,,,,
THE GREEK COMMUNITY OF CAIRO,2018,,ekkairo.org,NGO,Alex Seif,"Setup and customised a wordpress site, to serve as a portal for this community's presence, activities and history",,,,,
